status,comments,hour,photo,age,shares,link,likes,video,type,day,str_length,newlines
0,52,12,1,1379940788,525,0,747,0,4,0,335,4
0,41,11,1,1379936585,122,0,269,0,4,0,244,2
0,409,09,1,1379928600,4488,0,4056,0,4,0,121,0
0,42,06,1,1379916001,273,0,577,0,4,0,268,3
0,156,02,1,1379902573,385,0,914,0,4,0,434,6
0,64,16,0,1379868553,401,1,1186,0,4,6,123,0
0,34,23,1,1379804616,135,0,419,0,4,5,209,1
0,169,22,1,1379801691,549,0,1068,0,4,5,332,2
0,129,14,1,1379772242,1083,0,1165,0,4,5,280,2
0,251,21,1,1379713203,909,0,1892,0,4,4,151,2
0,197,19,1,1379707030,350,0,662,0,4,4,192,4
0,63,19,0,1379704178,237,1,646,0,4,4,116,0
0,100,18,1,1379700229,923,0,1171,0,4,4,283,2
0,40,16,1,1379695050,246,0,955,0,4,4,264,2
0,130,14,1,1379688060,393,0,1421,0,4,4,348,4
0,82,11,1,1379677984,90,0,232,0,4,4,300,4
0,37,09,1,1379669401,393,0,617,0,4,4,181,2
0,23,06,1,1379658600,84,0,183,0,4,4,355,2
0,179,03,1,1379649274,191,0,1131,0,4,4,294,4
0,43,00,1,1379635200,94,0,347,0,4,4,333,4
0,68,20,1,1379621320,882,0,971,0,4,3,280,4
0,72,18,1,1379614956,231,0,628,0,4,3,315,2
0,138,17,1,1379613084,229,0,733,0,4,3,363,6
0,110,15,1,1379605938,790,0,726,0,4,3,180,0
0,77,14,1,1379600210,516,0,559,0,4,3,223,2
0,25,13,1,1379595608,181,0,353,0,4,3,308,4
0,54,11,1,1379591487,236,0,348,0,4,3,253,2
0,1,09,1,1379583000,43,0,167,0,4,3,365,4
0,37,08,1,1379577601,316,0,527,0,4,3,167,0
0,16,04,1,1379563201,369,0,659,0,4,3,329,2
0,27,01,1,1379554018,86,0,242,0,4,3,382,6
0,83,22,1,1379543542,163,0,290,0,4,2,191,2
0,92,20,1,1379537358,1596,0,2090,0,4,2,293,2
0,367,19,0,1379531351,628,1,1912,0,4,2,307,2
0,361,17,1,1379525281,1038,0,1828,0,4,2,220,2
0,891,15,1,1379519270,438,0,1793,0,4,2,391,6
1,96,14,0,1379513891,807,0,1348,0,4,2,202,2
0,43,13,1,1379509359,347,0,474,0,4,2,311,4
1,101,11,0,1379505580,110,0,382,0,4,2,341,2
0,101,10,1,1379498400,362,0,1162,0,4,2,359,4
0,59,21,1,1379451973,109,0,236,0,4,1,207,2
0,119,19,1,1379446589,619,0,645,0,4,1,311,2
0,101,18,1,1379440826,341,0,464,0,4,1,274,2
0,65,16,1,1379435424,1790,0,2034,0,4,1,166,2
0,33,15,1,1379432325,270,0,648,0,4,1,177,2
0,116,14,1,1379427091,1213,0,1328,0,4,1,183,2
0,35,12,1,1379422623,232,0,362,0,4,1,242,4
1,64,11,0,1379418077,60,0,269,0,4,1,282,2
0,130,10,1,1379412000,855,0,1496,0,4,1,301,4
0,268,08,1,1379405400,614,0,1604,0,4,1,249,4
0,86,07,1,1379401236,312,0,714,0,4,1,267,4
0,41,05,1,1379394807,119,0,361,0,4,1,341,4
1,198,21,0,1379365287,443,0,984,0,4,0,249,2
0,45,19,1,1379359289,182,0,430,0,4,0,230,2
0,63,18,1,1379354706,265,0,478,0,4,0,143,0
1,169,16,0,1379349739,213,0,545,0,4,0,230,2
0,41,14,1,1379340813,241,0,497,0,4,0,202,2
0,98,13,1,1379339518,961,0,1258,0,4,0,261,2
0,75,09,1,1379323801,316,0,525,0,4,0,405,4
0,148,20,1,1379277520,253,0,639,0,4,6,338,6
0,271,12,1,1379247744,950,0,1780,0,4,6,266,4
0,71,23,1,1379201529,852,0,1225,0,4,5,358,2
0,123,17,0,1379178839,467,1,1841,0,4,5,198,2
0,15,13,1,1379165405,66,0,302,0,4,5,194,0
0,420,20,1,1379104511,2375,0,3611,0,4,4,144,2
0,47,20,1,1379102955,96,0,301,0,4,4,251,4
1,166,19,0,1379099030,158,0,396,0,4,4,144,2
1,148,17,0,1379095193,560,0,1042,0,4,4,360,4
0,153,16,1,1379089621,814,0,1077,0,4,4,170,2
1,138,14,0,1379082184,284,0,541,0,4,4,353,2
0,261,12,1,1379077133,333,0,688,0,4,4,400,5
0,71,11,1,1379071864,434,0,872,0,4,4,290,4
0,104,09,1,1379064601,909,0,1241,0,4,4,281,2
0,30,03,1,1379041998,194,0,1030,0,4,4,284,4
1,138,21,0,1379020954,272,0,984,0,4,3,172,2
0,144,20,1,1379018623,1259,0,3053,0,4,3,302,4
0,75,20,1,1379016149,103,0,466,0,4,3,342,4
0,178,17,1,1379008526,1458,0,1942,0,4,3,158,2
0,118,16,1,1379003217,684,0,788,0,4,3,247,2
0,209,15,1,1378998232,1768,0,2024,0,4,3,198,2
0,85,14,1,1378995961,158,0,731,0,4,3,286,2
0,63,12,0,1378990788,59,1,168,0,4,3,261,4
0,30,12,1,1378987852,104,0,294,0,4,3,221,2
0,20,09,1,1378978200,198,0,379,0,4,3,298,4
0,196,05,1,1378965400,721,0,1272,0,4,3,227,2
0,69,02,1,1378952916,337,0,471,0,4,3,216,2
0,181,21,1,1378933757,662,0,1104,0,4,2,294,2
0,438,20,0,1378929672,747,1,632,0,4,2,134,2
0,79,18,1,1378924692,1118,0,1375,0,4,2,173,2
0,186,17,1,1378918841,527,0,1318,0,4,2,191,2
1,182,15,0,1378914099,1314,0,1338,0,4,2,240,2
1,156,14,0,1378910610,65,0,401,0,4,2,343,4
0,203,12,1,1378902530,3573,0,9074,0,4,2,345,4
0,8,12,1,1378901015,86,0,241,0,4,2,299,2
0,92,09,1,1378891800,148,0,359,0,4,2,272,6
0,76,21,1,1378848004,373,0,567,0,4,1,226,2
0,86,19,1,1378842032,391,0,656,0,4,1,337,2
0,385,18,1,1378837495,1056,0,3450,0,4,1,276,4
0,36,17,1,1378832930,189,0,296,0,4,1,328,2
0,86,15,1,1378828564,687,0,1171,0,4,1,237,2
0,86,14,1,1378824563,1014,0,1045,0,4,1,272,2
1,87,13,0,1378821093,231,0,684,0,4,1,357,2
0,172,11,1,1378813328,243,0,478,0,4,1,228,4
0,36,09,1,1378804800,58,0,266,0,4,1,315,5
0,90,20,1,1378759353,604,0,789,0,4,0,287,2
0,199,19,1,1378755779,819,0,804,0,4,0,132,0
1,60,19,0,1378753573,65,0,262,0,4,0,184,2
0,55,18,1,1378750082,514,0,1067,0,4,0,176,0
1,66,17,0,1378746193,760,0,842,0,4,0,324,2
0,116,15,1,1378740739,485,0,1044,0,4,0,204,0
0,47,14,1,1378735828,441,0,607,0,4,0,163,2
0,138,11,1,1378727951,451,0,1135,0,4,0,346,4
0,101,09,1,1378719001,977,0,1165,0,4,0,343,4
0,330,15,1,1378655487,919,0,1170,0,4,6,239,2
0,118,15,1,1378567620,635,0,1164,0,4,5,257,2
0,185,20,1,1378499990,1494,0,1742,0,4,4,171,0
1,60,20,0,1378497919,166,0,695,0,4,4,307,2
0,88,18,1,1378493380,123,0,498,0,4,4,194,0
0,153,15,1,1378482006,3145,0,3628,0,4,4,220,2
0,84,14,1,1378478662,648,0,1006,0,4,4,250,2
0,48,13,1,1378473507,87,0,307,0,4,4,243,5
1,229,11,0,1378468119,807,0,953,0,4,4,208,0
0,193,21,1,1378418280,425,0,765,0,4,3,270,2
0,109,20,1,1378414006,385,0,1434,0,4,3,163,2
0,496,19,1,1378410705,242,0,879,0,4,3,209,4
1,71,18,0,1378406510,197,0,829,0,4,3,185,2
0,45,17,1,1378402279,853,0,1193,0,4,3,238,2
0,213,16,1,1378396993,1332,0,2082,0,4,3,206,2
0,80,15,1,1378393261,95,0,279,0,4,3,256,2
0,48,13,1,1378389289,139,0,353,0,4,3,250,2
1,283,11,0,1378381536,685,0,1151,0,4,3,301,4
0,144,21,1,1378329186,372,0,527,0,4,2,275,4
0,334,20,1,1378325324,1026,0,923,0,4,2,244,2
0,158,18,1,1378320342,519,0,776,0,4,2,232,2
0,157,17,1,1378317152,371,0,891,0,4,2,336,6
1,27,16,0,1378312249,244,0,684,0,4,2,170,0
0,166,14,1,1378304652,1484,0,1397,0,4,2,154,2
0,298,12,1,1378298947,778,0,1354,0,4,2,230,2
0,102,11,1,1378294305,595,0,1774,0,4,2,254,2
0,125,09,1,1378287000,1440,0,1889,0,4,2,252,2
0,29,22,1,1378246652,49,0,357,0,4,1,164,2
0,132,21,1,1378243212,379,0,623,0,4,1,166,2
0,43,18,1,1378233685,516,0,458,0,4,1,157,0
0,101,16,1,1378227568,818,0,804,0,4,1,299,2
0,323,15,1,1378223983,203,0,687,0,4,1,339,4
0,835,14,1,1378219717,17850,0,11991,0,4,1,186,2
0,32,13,1,1378215689,77,0,258,0,4,1,194,2
0,202,11,1,1378209308,865,0,1832,0,4,1,243,6
0,62,09,1,1378201493,291,0,543,0,4,1,380,4
0,36,15,1,1378136401,134,0,403,0,4,0,129,0
0,87,12,1,1378124467,866,0,1503,0,4,0,186,2
0,58,09,1,1378114201,173,0,503,0,4,0,383,4
0,742,13,1,1378040700,936,0,2422,0,4,6,402,4
0,235,13,1,1377956285,1448,0,2612,0,4,5,203,3
1,54,20,0,1377896240,411,0,1234,0,4,4,151,0
0,342,18,1,1377886453,1048,0,1184,0,4,4,162,2
0,415,17,1,1377883497,418,0,816,0,4,4,357,4
0,44,15,1,1377877124,402,0,1198,0,4,4,180,2
0,108,12,1,1377865923,213,0,542,0,4,4,391,2
0,151,09,1,1377853477,574,0,965,0,4,4,370,4
0,487,21,1,1377810181,5111,0,10403,0,4,3,234,4
0,47,19,1,1377806384,178,0,578,0,4,3,342,5
0,305,18,1,1377799830,428,0,1067,0,4,3,317,5
0,177,17,1,1377797276,853,0,1559,0,4,3,169,2
1,91,17,0,1377796795,116,0,423,0,4,3,272,2
0,447,15,1,1377791988,711,0,846,0,4,3,369,4
0,376,13,1,1377784765,1829,0,1212,0,4,3,117,0
0,34,12,1,1377780239,223,0,386,0,4,3,306,2
0,35,09,1,1377767401,214,0,344,0,4,3,312,4
0,343,19,1,1377717278,549,0,1280,0,4,2,343,4
0,46,18,1,1377712820,688,0,1044,0,4,2,194,2
0,83,15,1,1377702912,333,0,519,0,4,2,279,2
0,110,13,1,1377698246,1235,0,3182,0,4,2,314,6
0,27,12,1,1377692487,161,0,344,0,4,2,146,2
0,123,09,1,1377681601,894,0,1765,0,4,2,366,4
0,97,19,1,1377631469,2216,0,2846,0,4,1,186,2
0,74,17,1,1377625209,135,0,473,0,4,1,321,4
0,107,16,1,1377620945,3417,0,3708,0,4,1,167,2
0,140,14,1,1377615598,424,0,661,0,4,1,406,5
0,56,13,1,1377611593,473,0,834,0,4,1,308,4
0,122,12,1,1377607693,380,0,1331,0,4,1,329,4
0,375,09,1,1377595800,1000,0,1026,0,4,1,347,4
0,90,20,1,1377550728,423,0,799,0,4,0,159,2
0,113,18,1,1377542650,672,0,781,0,4,0,194,2
