status,comments,hour,photo,age,shares,link,likes,video,string_length,type,day,newlines
1,4,15,0,1368524145,2,0,290,0,97,2,1,0
1,7,15,0,1368439986,3,0,280,0,69,2,0,0
0,8,14,1,1368437192,0,0,39,0,106,3,0,2
0,10,21,1,1368289183,34,0,265,0,70,3,5,2
1,7,20,0,1368285085,1,0,94,0,81,2,5,0
1,9,19,0,1368282014,0,0,42,0,114,2,5,2
1,3,19,0,1368280937,0,0,61,0,85,2,5,0
1,7,19,0,1368280682,0,0,83,0,76,2,5,0
1,5,19,0,1368279785,0,0,63,0,63,2,5,0
0,3,18,1,1368189920,12,0,147,0,21,3,4,0
0,1,16,1,1368184062,2,0,94,0,40,3,4,0
0,1,17,1,1368101496,1,0,76,0,51,3,3,0
0,26,18,1,1367933243,52,0,2170,0,287,3,1,7
0,0,17,1,1367927142,6,0,57,0,231,3,1,2
0,4,21,1,1367854771,5,0,79,0,28,3,0,0
0,0,19,1,1367674218,0,0,70,0,43,3,5,0
0,0,17,1,1367667612,2,0,83,0,39,3,5,0
0,2,20,1,1367505362,0,0,64,0,48,3,3,0
0,0,19,1,1367415574,3,0,59,0,25,3,2,0
0,12,17,1,1367323349,4,0,875,0,40,3,1,0
0,1,15,1,1367315124,2,0,166,0,23,3,1,0
0,20,12,1,1366874736,27,0,1173,0,26,3,3,0
0,11,16,1,1366802303,14,0,330,0,45,3,2,0
0,11,02,1,1366664302,4,0,306,0,71,3,1,2
0,11,16,1,1366627834,15,0,218,0,24,3,0,0
0,6,19,1,1366378846,1,0,718,0,69,3,4,0
0,2,22,1,1366305192,2,0,115,0,4,3,3,0
0,4,12,1,1366268556,0,0,64,0,63,3,3,0
0,2,15,1,1366193530,5,0,92,0,18,3,2,0
0,4,19,1,1366122098,2,0,53,0,53,3,1,0
0,0,11,1,1366006529,0,0,46,0,17,3,0,0
0,0,22,1,1365871104,0,0,70,0,96,3,5,2
1,19,00,0,1365532863,0,0,184,0,32,2,2,0
0,2,10,0,1365310265,0,0,25,1,94,4,6,4
1,19,03,0,1365284825,0,0,61,0,31,2,6,0
0,0,12,0,1365230623,0,0,25,1,288,4,5,4
1,50,00,0,1365190004,1,0,75,0,44,2,5,0
1,17,00,0,1365014854,0,0,90,0,85,2,3,2
0,2,12,1,1364541354,2,0,77,0,28,3,4,0
0,1,23,1,1364491909,0,0,107,0,36,3,3,0
0,7,00,1,1364238951,1,0,59,0,23,3,1,0
0,1,14,1,1363942446,2,0,64,0,115,3,4,0
0,3,17,1,1363349455,2,0,103,0,30,3,4,0
0,2,00,1,1363114479,2,0,70,0,49,3,2,0
0,4,00,1,1362943001,2,0,122,0,13,3,0,0
0,6,16,1,1362827262,1,0,94,0,71,3,5,0
0,11,19,1,1362490681,18,0,544,0,32,3,1,0
0,0,23,1,1362420926,6,0,419,0,173,3,0,5
0,38,13,1,1362125742,62,0,1483,0,131,3,4,1
0,2,00,1,1361990059,4,0,308,0,28,3,3,0
0,16,23,1,1361471154,16,0,247,0,33,3,3,0
0,3,23,1,1361295701,3,0,199,0,33,3,1,0
0,6,00,1,1361213401,18,0,542,0,201,3,1,4
0,26,00,1,1361042208,44,0,685,0,31,3,6,0
0,3,00,1,1360953592,6,0,420,0,37,3,5,0
1,27,00,0,1360783299,0,0,801,0,137,2,3,0
0,28,23,1,1360692184,23,0,592,0,31,3,1,0
0,13,13,1,1360570241,2,0,506,0,79,3,0,0
0,12,22,1,1360343555,0,0,431,0,32,3,4,0
0,14,23,1,1360175111,11,0,459,0,61,3,2,1
0,9,15,1,1360059425,6,0,490,0,81,3,1,1
0,6,21,1,1359820116,11,0,393,0,49,3,5,0
0,3,19,1,1359553115,4,0,67,0,275,3,2,1
0,0,16,1,1359369031,2,0,90,0,65,3,0,0
0,3,16,1,1359111751,6,0,199,0,34,3,4,0
0,0,00,1,1358968167,14,0,135,0,78,3,3,3
0,2,23,1,1358790675,2,0,110,0,48,3,0,0
0,2,22,1,1358355848,2,0,122,0,16,3,2,0
0,1,18,1,1358254057,5,0,163,0,20,3,1,0
0,3,23,1,1358185277,2,0,174,0,37,3,0,0
0,1,14,1,1358067576,1,0,159,0,37,3,6,0
0,4,13,1,1357978429,15,0,434,0,53,3,5,0
0,2,00,1,1357932405,1,0,237,0,29,3,5,0
0,8,00,1,1357845118,13,0,481,0,66,3,4,1
0,21,19,1,1357738990,16,0,896,0,41,3,2,0
0,17,22,1,1357665668,21,0,618,0,29,3,1,0
0,21,12,1,1357542688,18,0,784,0,34,3,0,0
0,20,20,1,1357484813,26,0,897,0,33,3,6,0
0,73,16,1,1357298892,51,0,2718,0,32,3,4,0
0,37,00,1,1357153970,57,0,2082,0,38,3,3,0
0,21,15,1,1357121738,15,0,780,0,38,3,2,0
0,4,23,1,1357062890,17,0,757,0,92,3,1,1
0,13,14,1,1357032227,6,0,697,0,104,3,1,1
0,28,18,1,1356958009,27,0,812,0,46,3,0,0
0,40,21,1,1356796444,33,0,1912,0,118,3,5,3
0,17,00,1,1356721125,18,0,795,0,77,3,5,0
