status[2],comments,hour[3],photo[4],age[5],shares,videos[6],link[7],string_length[8],newlines[9],likes
0,2,20,1,1367505362,0,0,0,48,0,64
0,0,19,1,1367415574,3,0,0,25,0,59
0,12,17,1,1367323349,4,0,0,40,0,875
0,1,15,1,1367315124,2,0,0,23,0,166
0,20,12,1,1366874736,27,0,0,26,0,1173
0,11,16,1,1366802303,14,0,0,45,0,330
0,11,2,1,1366664302,4,0,0,71,2,306
0,11,16,1,1366627834,15,0,0,24,0,218
0,6,19,1,1366378846,1,0,0,69,0,718
0,2,22,1,1366305192,2,0,0,4,0,115
0,4,12,1,1366268556,0,0,0,63,0,64
0,2,15,1,1366193530,5,0,0,18,0,92
0,4,19,1,1366122098,2,0,0,53,0,53
0,0,11,1,1366006529,0,0,0,17,0,46
0,0,22,1,1365871104,0,0,0,96,2,70
1,19,0,0,1365532863,0,0,0,32,0,184
0,2,10,0,1365310265,0,1,1,94,4,25
1,19,3,0,1365284825,0,0,0,31,0,61
0,0,12,0,1365230623,0,1,1,288,4,25
1,50,0,0,1365190004,1,0,0,44,0,75
1,17,0,0,1365014854,0,0,0,85,2,90
0,2,12,1,1364541354,2,0,0,28,0,77
0,1,23,1,1364491909,0,0,0,36,0,107
0,7,0,1,1364238951,1,0,0,23,0,59
0,1,14,1,1363942446,2,0,0,115,0,64
0,119,0,1,1363459573,49,0,0,49,0,6001
0,3,17,1,1363349455,2,0,0,30,0,103
0,2,0,1,1363114479,2,0,0,49,0,70
0,4,0,1,1362943001,2,0,0,13,0,122
0,6,16,1,1362827262,1,0,0,71,0,94
0,11,19,1,1362490681,18,0,0,32,0,544
0,0,23,1,1362420926,6,0,0,173,5,419
0,38,13,1,1362125742,62,0,0,131,1,1483
0,2,0,1,1361990059,4,0,0,28,0,308
0,479,16,0,1361532428,582,0,1,145,1,21441
0,16,23,1,1361471154,16,0,0,33,0,247
0,3,23,1,1361295701,3,0,0,33,0,199
0,6,0,1,1361213401,18,0,0,201,4,542
0,26,0,1,1361042208,44,0,0,31,0,685
0,3,0,1,1360953592,6,0,0,37,0,420
1,27,0,0,1360783299,0,0,0,137,0,801
0,28,23,1,1360692184,23,0,0,31,0,592
